id,product_id,competitor_name,competitor_price,scraped_at
c9e76c41-b847-4501-92e8-047153cd5837,1224dcb9-7363-43d1-a356-53ec4c76eeb2,Reliance Digital,2621.5,2024-04-02T12:20:11.000000
7fc6b5e5-5ed6-4c05-b88b-cd205f1c7bea,b608f327-52ca-430b-8121-bdb804215792,Reliance Digital,2042.51,2022-06-19T15:32:31.000000
88995960-421b-4e3a-81bc-bf3e5c99d405,0d212128-5f53-4250-9f9e-804beab0abd9,Meesho,1747.63,2026-07-17T02:10:40.000000
c32670c5-bd8b-4fc6-a927-5244c1646c2c,5f03889a-7d5c-4f17-ae3d-4dd8b2cbf885,Croma,388.99,2024-06-04T05:33:40.000000
95b3b140-7ce2-424d-9e40-8ac427791fda,65ff1688-5555-42b8-9bba-e9a844abd23b,Croma,511.17,2025-07-19T16:05:01.000000
2163324b-2a25-434e-aa98-8ce3a24779e5,9c27fcbb-7914-4bd6-8604-df1aeaf7e145,Croma,2108.34,2025-06-15T06:37:11.000000
f133ca2d-6383-4368-a7be-dfab551cf2c2,961ae9c4-7d16-4d1e-ad22-310378d75899,Tata CLiQ,2134.69,2022-06-06T20:32:59.000000
51f5bc6e-490a-40d8-bcaf-f88f22b7f057,e6b839a9-fa91-4e2a-bd7a-ffeb08348300,Amazon India,793.61,2024-07-25T17:27:29.000000
73dd2980-e1d6-4209-baec-80e18e88906e,7a43dcb5-f661-4eee-bba6-d123bb2d7310,Flipkart,1796.57,2025-11-17T06:24:05.000000
6097f7de-cf11-4022-a737-15aa485eff76,2597b5a3-f2f2-458c-9a78-8be6620767a2,Flipkart,1287.78,2023-01-29T09:37:00.000000
0465dd43-96bc-493c-9767-83c661715502,f2a704b3-436c-4773-8f46-4c1dc6090192,Croma,924.95,2026-09-01T21:28:47.000000
3b606b16-c4a1-4da8-9eb2-1a910f83a18d,f73def59-7ec1-44b8-bc45-9de4755e7792,Amazon India,1580.74,2022-09-25T13:51:58.000000
c6a83363-bf14-463c-826e-311429cf369c,9b7dccb9-7696-4366-918a-57622a3c5dd7,Flipkart,687.2,2021-10-03T19:53:17.000000
4f430ee2-5136-4c78-ba0c-aa4463e091dc,b3d56793-0260-4fcd-b034-7569d40d9662,Amazon India,5050.53,2024-04-03T23:18:45.000000
cb3b9e14-d708-44e0-a0c1-6df65dc0897a,65ff1688-5555-42b8-9bba-e9a844abd23b,Myntra,529.72,2022-12-08T15:47:55.000000
a55f3ed8-70bc-40f7-b430-4d5e97060a31,33dfbf71-5b00-4493-91b7-f0bc444c23af,Flipkart,3098.45,2023-02-08T03:44:06.000000
19f72ebc-78a3-4866-92a4-267c9a18d2e5,d4b56b16-f7b1-48ec-a302-ef296defa4bf,Reliance Digital,2167.12,2023-10-27T04:05:49.000000
73b6a370-75d5-4b28-918d-3f1e7703742e,2258402e-1684-4d4c-b781-68dea8bc536f,Tata CLiQ,1060.11,2023-08-07T18:09:16.000000
99547783-462a-4e8a-b4a3-e97f50959d04,664fe812-aa0e-4874-9870-b84e29797e7a,Myntra,18954.32,2025-12-28T23:30:20.000000
3aa3444a-c2b0-4140-9bcd-bd92ed2b5c80,702d88d2-449c-4ed9-ab9d-25d61ce2fff8,Meesho,8251.69,2023-02-10T18:40:49.000000
